"","date","net_kWh","produced_kWh","consumed_kWh"
"607",2023-12-12,54.42,34.95,89.37
"608",2023-12-13,30.67,34.439,65.109
"609",2023-12-14,15.96,34.126,50.086
"610",2023-12-15,3.44,34.012,37.452
"611",2023-12-16,24.22,29.479,53.699
"612",2023-12-17,33.46,1.645,35.105
"613",2023-12-18,64.42,10.418,74.838
"614",2023-12-19,38.68,18.177,56.857
"615",2023-12-20,67.83,21.575,89.405
"616",2023-12-21,39.7,28.652,68.352
"617",2023-12-22,36.39,18.96,55.35
"618",2023-12-23,59.03,10.707,69.737
"619",2023-12-24,32.11,6.993,39.103
"620",2023-12-25,18.48,15.817,34.297
"621",2023-12-26,32.06,6.268,38.328
"622",2023-12-27,53.38,4.264,57.644
"623",2023-12-28,16.04,11.237,27.277
"624",2023-12-29,11.42,22.7,34.12
"625",2023-12-30,78.31,10.046,88.356
"626",2023-12-31,39.76,8.565,48.325
"627",2024-01-01,27.37,12.154,39.524
"628",2024-01-02,39.95,34.746,74.696
"629",2024-01-03,27.31,17.317,44.627
"630",2024-01-04,20.14,17.35,37.49
"631",2024-01-05,56.51,32.842,89.352
"632",2024-01-06,42.85,4.78,47.63
"633",2024-01-07,56.72,1.029,57.749
"634",2024-01-08,21.18,12.437,33.617
"635",2024-01-09,45.86,1.493,47.353
"636",2024-01-10,55.8,10.805,66.605
"637",2024-01-11,13.23,26.378,39.608
"638",2024-01-12,31.93,26.687,58.617
"639",2024-01-13,11.39,19.747,31.137
"640",2024-01-14,26.4,25.55,51.95
"641",2024-01-15,84.6700000000001,12.188,96.858
"642",2024-01-16,86.12,0.013,86.133
"643",2024-01-17,106.76,1.218,107.978
"644",2024-01-18,127.9,0.763,128.663
"645",2024-01-19,62.19,1.414,63.604
"646",2024-01-20,67.03,5.017,72.047
"647",2024-01-21,58.36,21.166,79.526
"648",2024-01-22,52.7,17.768,70.468
"649",2024-01-23,29.4,11.451,40.851
"650",2024-01-24,74.13,7.605,81.735
"651",2024-01-25,22.57,11.6,34.17
"652",2024-01-26,62.27,11.472,73.742
"653",2024-01-27,9.21,23.374,32.584
"654",2024-01-28,56.34,8.491,64.831
"655",2024-01-29,22.25,23.996,46.246
"656",2024-01-30,47.11,7.865,54.975
"657",2024-01-31,46.25,6.578,52.828
"658",2024-02-01,54.62,12.501,67.121
"659",2024-02-02,39.69,13.049,52.739
"660",2024-02-03,15.97,47.649,63.619
"661",2024-02-04,28.33,48.225,76.555
"662",2024-02-05,19.92,48.869,68.789
"663",2024-02-06,5.21000000000001,50.235,55.445
"664",2024-02-07,24.13,48.477,72.607
"665",2024-02-08,-2.61999999999999,41.278,38.658
"666",2024-02-09,20.44,33.333,53.773
"667",2024-02-10,17.7,20.538,38.238
"668",2024-02-11,4.82,15.474,20.294
"669",2024-02-12,4.85000000000001,31.293,36.143
"670",2024-02-13,50.31,4.994,55.304
"671",2024-02-14,26.85,32.394,59.244
"672",2024-02-15,73.98,30.449,104.429
"673",2024-02-16,4.38,38.973,43.353
"674",2024-02-17,72.57,4.86,77.43
"675",2024-02-18,46.44,15.491,61.931
"676",2024-02-19,11.33,29.099,40.429
"677",2024-02-20,19.71,31.813,51.523
"678",2024-02-21,44.34,40.768,85.108
"679",2024-02-22,51.24,31.326,82.566
"680",2024-02-23,9.43,30.676,40.106
"681",2024-02-24,-18.02,55.396,37.376
"682",2024-02-25,59.5,61.503,121.003
"683",2024-02-26,-5.99999999999999,50.324,44.324
"684",2024-02-27,-1.46,37.058,35.598
"685",2024-02-28,16.84,4.129,20.969
"686",2024-02-29,-1.26000000000001,63.006,61.746
"687",2024-03-01,19.74,57.977,77.717
"688",2024-03-02,26.1,7.249,33.349
"689",2024-03-03,-22.26,54.1,31.84
"690",2024-03-04,-19.39,41.232,21.842
"691",2024-03-05,54.57,14.608,69.178
"692",2024-03-06,17.6,7.025,24.625
"693",2024-03-07,-22,42.642,20.642
"694",2024-03-08,-34.74,57.599,22.859
"695",2024-03-09,69.22,5.981,75.201
"696",2024-03-10,4.1,35.399,39.499
"697",2024-03-11,-37.16,72.209,35.049
"698",2024-03-12,-35.51,67.705,32.195
"699",2024-03-13,-34.3,60.516,26.216
"700",2024-03-14,13.88,59.486,73.366
"701",2024-03-15,-30.74,44.408,13.668
"702",2024-03-16,-31.01,71.978,40.968
"703",2024-03-17,-35.11,67.077,31.967
"704",2024-03-18,-17.21,47.809,30.599
"705",2024-03-19,36,47.777,83.777
"706",2024-03-20,13.09,27.376,40.466
"707",2024-03-21,-32.59,82.605,50.015
"708",2024-03-22,30.22,49.982,80.202
"709",2024-03-23,35.39,18.008,53.398
"710",2024-03-24,-33.43,80.01,46.58
"711",2024-03-25,-51.66,80.09,28.43
"712",2024-03-26,-32.95,57.808,24.858
"713",2024-03-27,52.2,16.022,68.222
"714",2024-03-28,22.41,14.8,37.21
"715",2024-03-29,-56.42,78.924,22.504
"716",2024-03-30,9.32,58.957,68.277
"717",2024-03-31,-31.24,54.147,22.907
"718",2024-04-01,10.41,14.335,24.745
"719",2024-04-02,68.3,5.859,74.159
"720",2024-04-03,26.12,5.96,32.08
"721",2024-04-04,-9.64,41.88,32.24
"722",2024-04-05,25.92,34.524,60.444
"723",2024-04-06,-4.5,53.132,48.632
"724",2024-04-07,-22.44,80.976,58.536
"725",2024-04-08,-33.16,56.863,23.703
"726",2024-04-09,-56.42,74.218,17.798
"727",2024-04-10,-38.69,51.64,12.95
"728",2024-04-11,26.49,22.21,48.7
"729",2024-04-12,1.06,32.054,33.114
"730",2024-04-13,-12.62,42.547,29.927
"731",2024-04-14,-56.09,81.251,25.161
"732",2024-04-15,-3.14000000000002,79.177,76.037
"733",2024-04-16,-70.66,88.168,17.508
"734",2024-04-17,-26.3,40.241,13.941
"735",2024-04-18,7.89,18.694,26.584
"736",2024-04-19,32.71,29.781,62.491
"737",2024-04-20,-43.72,79.159,35.439
"738",2024-04-21,25.52,58.294,83.814
"739",2024-04-22,-64.22,94.191,29.971
"740",2024-04-23,-75.16,87.835,12.675
"741",2024-04-24,-57.9,68.339,10.439
"742",2024-04-25,-47.75,88.225,40.475
"743",2024-04-26,-76.43,93.148,16.718
"744",2024-04-27,-5.24,33.56,28.32
"745",2024-04-28,-19.34,76.592,57.252
"746",2024-04-29,-35.51,72.566,37.056
"747",2024-04-30,-36.14,55.841,19.701
"748",2024-05-01,-74.04,85.642,11.602
"749",2024-05-02,-73.17,85.575,12.405
"750",2024-05-03,-3.79999999999999,62.801,59.001
"751",2024-05-04,-15.11,25.509,10.399
"752",2024-05-05,16.15,12.317,28.467
"753",2024-05-06,-23.31,41.037,17.727
"754",2024-05-07,-12.53,79.052,66.522
"755",2024-05-08,-57.63,76.94,19.31
"756",2024-05-09,-31.22,47.229,16.009
